Название,Полная цена,Цена со скидкой,Описание,Состав,Размер,Ссылки на фотографии
Авторский букет с пионовидными Розами и Гортензией,5990,5990,Большой авторский букет из ажурной Гортензии; пионовидных кустовых Роз; кружевной Эустомы и Диантусов в стильной дизайнерской упаковке.,Гортензия - 3 шт; Роза кустовая пионовидная - 5 шт; Озотамнус - 3 шт; Эустома - 3 шт; рускус стабилизированный - 1 шт; Эвкалипт - 5 шт; Диантус - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/93/1667590843_23311193.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/46/1667590843_37144446.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1667590844_73910890.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/05/1667590844_34088005.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1667590844_19805642.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1667590844_41002793.jpg
Пионовидные кустовые Розы Бомбастик 19 шт,6990,5942,19 пышных кустовых пионовидных Роз Бомбастик в стильной упаковке,Кустовая пионовидная роза - 19 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-40см,https://content2.flowwow-images.com/data/flowers/1000x1000/12/1654770140_18701812.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1654770140_17000022.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1654770140_51727023.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/89/1654770140_65165289.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1654770140_52376095.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1654770140_43848823.jpg
5 белых Гортензий и Гипсофила,2590,2590,Воздушная белоснежная Гортензия и веточки нежной Гипсофилы в стильной упаковке.,Гортензия - 5 шт; Гипсофила - 2 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-38см,https://content2.flowwow-images.com/data/flowers/1000x1000/39/1665650165_28212739.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/45/1665650165_47781745.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1665650165_48993897.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1665650165_31888972.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1665650165_39138093.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/63/1665650165_34486463.jpg
Радужная Гипсофила в шляпной коробке,1590,1590,Радужная гипсофила в шляпной коробке,Гипсофила - 4 шт; Флористическая губка - 1 шт; Коробка шляпная - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/70/1646348743_94682870.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/14/1646348744_65779114.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/26/1646348744_54905526.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/52/1646348744_16587652.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1646348744_52499256.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1646348744_31046097.jpg
Авторский букет с Антуриумом,6990,6990,Экзотический Антуриум; ароматные садовые Розы; воздушная Гортензия и ажурная Эустома в стильной упаковке.,Антуриум - 2 шт; Гортензия - 2 шт; роза одноголовая pink o'hara - 5 шт; Роза кустовая пионовидная - 5 шт; Эустома - 3 шт; Озотамнус - 3 шт; рускус стабилизированный - 2 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-45см,https://content2.flowwow-images.com/data/flowers/1000x1000/82/1665820286_81218282.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/76/1665820286_13947276.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1665820286_39262984.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1665820286_62458590.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/10/1665820286_94865510.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1665820286_40040483.jpg
19 розовых Альстромерий,2390,2390,19 пышных розовых Альстромерий в стильной упаковке,Альстромерия - 19 шт; бумага дизайнерская - 4 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/09/1647205596_69699209.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/44/1647205596_56116644.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1647205596_38432313.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1647205596_40726894.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/78/1647205596_22053578.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/27/1647205596_68041327.jpg
Авторский букет с белой Гортензией и ароматным Розами Пинк Охара,4790,4790,Авторский букет с белоснежной Гортензией ; ароматными садовыми Розами Пинк Охара ; нежными кустовыми пионовидными Розами ; воздушной Стифой и кустовой ароматной Маттиолой в стильной упаковке,Гортензия - 1 шт; pink o'hara роза - 3 шт; Роза кустовая пионовидная - 3 шт; Эустома - 2 шт; маттиола кустовая - 2 шт; Диантус - 3 шт; рускус стабилизированный - 1 шт; Стифа - 2 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-42см,https://content2.flowwow-images.com/data/flowers/1000x1000/71/1668444161_31007871.jpg; https://content2.flowwow-images.com/data/incoming/3abde2780076f3cb91d09e7e59c5230238bad1ea/original.mp4; https://content3.flowwow-images.com/data/flowers/1000x1000/90/1668444161_4660290.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1668444161_29727393.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/38/1668444161_28822938.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/85/1668444161_55125785.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1668444162_64806394.jpg
Бордовая Хризантема с Альстромерией,2590,2590,Бордовая кустовая Хризантема с желто-золотистой Альстромерией в стильной упаковке,Хризантема кустовая - 7 шт; Альстромерия - 3 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/65/1663001418_92887165.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1663001419_92952913.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/63/1663001419_85089863.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/01/1663001420_70698301.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1663001420_85909533.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/61/1663001420_72143061.jpg
Елка Новогодняя из Нобилиса с игрушками,3190,3190,Новогодняя Ёлка из Нобилиса; украшенная игрушками в нежно-розовых оттенках на деревянном спиле,Нобилис - 3 шт; Декор новогодний - 44 шт; Губка флористическая - 1 шт; Поддон - 1 шт; ,Высота-38см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/96/1669993802_25323496.jpg; https://content2.flowwow-images.com/data/incoming/22a712afe3685be5f44bbdfbb711dca8e3bdac6b/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1669993802_10788393.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/88/1669993802_14632688.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/02/1669993802_76998202.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/49/1669993802_96686349.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1669993802_12800942.jpg
Радужная Хризантема 15 шт,7500,7500,15 магических Радужных Хризантем в стильной упаковке,Хризантема кустовая - 15 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-50см; Ширина-35см,https://content3.flowwow-images.com/data/flowers/1000x1000/93/1658816478_1514093.jpg; https://content2.flowwow-images.com/data/incoming/fd543500497c9332176b4f589460f1dcf78f69b1/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/67/1658816478_14416167.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/07/1658816478_90029207.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/09/1658816478_15431209.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/91/1658816478_7786491.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/36/1658816478_22248736.jpg
Новогодняя композиция из Нобилиса со свечей в коробке,1690,1690,Новогодняя композиция в белых оттенках . Сделана из натуральной датской ели Нобилис с добавлением Кипарисовика и натурального Хлопка. В центре композиции свеча ; украшенная новогодним декором.,ХлопокСвечаНобилисНовогодний декорКипарисовикКоробка шляпнаяГубка флористическая,Высота-38см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/18/1669825496_13346618.jpg; https://content2.flowwow-images.com/data/incoming/b2e5c55304f4bfa57c922943dfbe4546f0227fe2/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/74/1669825496_12866574.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1669825496_39531795.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/33/1669825496_6314433.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/76/1670073035_46223976.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/81/1670073035_73947981.jpg
Маттиола микс 11 шт,1990,1990,Букет из ароматной Маттиолы в сиренево-фиолетовой гамме в стильной упаковке,Маттиола - 11 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-23см,https://content2.flowwow-images.com/data/flowers/1000x1000/82/1667817533_73739582.jpg; https://content2.flowwow-images.com/data/incoming/53b53ff346934d8077dcdb93d595226800ec2081/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/66/1667817533_15615666.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1667817533_46417197.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/71/1667817534_37971671.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/16/1667817534_76990316.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/30/1667817534_40556230.jpg
Альстромерия 25 шт,3150,3150,Белоснежная Альстромерия в стильной крафтовой упаковке,Альстромерия - 25 шт; бумага дизайнерская - 5 шт; бумага крафт - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/34/1659940220_48876434.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/72/1659940220_89478472.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/69/1659940220_31514169.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1659940220_87539160.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1659940220_29526742.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/71/1659940220_36272271.jpg
